unique_id,ds,yhat
litecoin,2025-10-26,85.04424
litecoin,2025-10-27,84.83823
litecoin,2025-10-28,84.76659
litecoin,2025-10-29,84.7051
litecoin,2025-10-30,84.692184
litecoin,2025-10-31,84.6762
litecoin,2025-11-01,84.64757
litecoin,2025-11-02,84.629555
litecoin,2025-11-03,84.61967
litecoin,2025-11-04,84.60178
litecoin,2025-11-05,84.61669
litecoin,2025-11-06,84.69478
litecoin,2025-11-07,84.98121
litecoin,2025-11-08,84.80008
litecoin,2025-11-09,84.69368
litecoin,2025-11-10,84.66318
litecoin,2025-11-11,84.69644
litecoin,2025-11-12,84.7518
litecoin,2025-11-13,84.67525
litecoin,2025-11-14,84.64006
litecoin,2025-11-15,84.649666
litecoin,2025-11-16,84.74035
litecoin,2025-11-17,84.762505
litecoin,2025-11-18,84.66788
litecoin,2025-11-19,84.61345
litecoin,2025-11-20,84.64043
litecoin,2025-11-21,85.03738
litecoin,2025-11-22,85.329216
litecoin,2025-11-23,84.98328
litecoin,2025-11-24,85.25352
